kind,cutoff,class,support,predicted,true_positive,precision,recall,coverage_all,none_fp_count,none_fp,total_coverage_all,total_correct_positive_recall,total_none_fp
per_class,0.7,supersedes,106,125,97,0.776,0.9150943396226415,0.2170138888888889,26,0.10038610038610038,0.5798611111111112,0.9495268138801262,0.11969111969111969
per_class,0.7,cancels,72,70,69,0.9857142857142858,0.9583333333333334,0.12152777777777778,1,0.003861003861003861,0.5798611111111112,0.9495268138801262,0.11969111969111969
per_class,0.7,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5798611111111112,0.9495268138801262,0.11969111969111969
per_class,0.7,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5798611111111112,0.9495268138801262,0.11969111969111969
per_class,0.71,supersedes,106,124,97,0.782258064516129,0.9150943396226415,0.2152777777777778,25,0.09652509652509653,0.5763888888888888,0.9463722397476341,0.11583011583011583
per_class,0.71,cancels,72,69,68,0.9855072463768116,0.9444444444444444,0.11979166666666667,1,0.003861003861003861,0.5763888888888888,0.9463722397476341,0.11583011583011583
per_class,0.71,completes,70,71,68,0.9577464788732394,0.9714285714285714,0.1232638888888889,3,0.011583011583011582,0.5763888888888888,0.9463722397476341,0.11583011583011583
per_class,0.71,reinstates,69,68,67,0.9852941176470589,0.9710144927536232,0.11805555555555555,1,0.003861003861003861,0.5763888888888888,0.9463722397476341,0.11583011583011583
per_class,0.72,supersedes,106,124,97,0.782258064516129,0.9150943396226415,0.2152777777777778,25,0.09652509652509653,0.5729166666666666,0.943217665615142,0.11196911196911197
per_class,0.72,cancels,72,69,68,0.9855072463768116,0.9444444444444444,0.11979166666666667,1,0.003861003861003861,0.5729166666666666,0.943217665615142,0.11196911196911197
per_class,0.72,completes,70,70,68,0.9714285714285714,0.9714285714285714,0.12152777777777778,2,0.007722007722007722,0.5729166666666666,0.943217665615142,0.11196911196911197
per_class,0.72,reinstates,69,67,66,0.9850746268656716,0.9565217391304348,0.11631944444444445,1,0.003861003861003861,0.5729166666666666,0.943217665615142,0.11196911196911197
per_class,0.73,supersedes,106,123,97,0.7886178861788617,0.9150943396226415,0.21354166666666666,24,0.09266409266409266,0.5711805555555556,0.943217665615142,0.10810810810810811
per_class,0.73,cancels,72,69,68,0.9855072463768116,0.9444444444444444,0.11979166666666667,1,0.003861003861003861,0.5711805555555556,0.943217665615142,0.10810810810810811
per_class,0.73,completes,70,70,68,0.9714285714285714,0.9714285714285714,0.12152777777777778,2,0.007722007722007722,0.5711805555555556,0.943217665615142,0.10810810810810811
per_class,0.73,reinstates,69,67,66,0.9850746268656716,0.9565217391304348,0.11631944444444445,1,0.003861003861003861,0.5711805555555556,0.943217665615142,0.10810810810810811
per_class,0.74,supersedes,106,122,97,0.7950819672131147,0.9150943396226415,0.21180555555555555,23,0.0888030888030888,0.5694444444444444,0.943217665615142,0.10424710424710425
per_class,0.74,cancels,72,69,68,0.9855072463768116,0.9444444444444444,0.11979166666666667,1,0.003861003861003861,0.5694444444444444,0.943217665615142,0.10424710424710425
per_class,0.74,completes,70,70,68,0.9714285714285714,0.9714285714285714,0.12152777777777778,2,0.007722007722007722,0.5694444444444444,0.943217665615142,0.10424710424710425
